Product,Order Date,Price
LuminaX Pro Camera,2023-04-10,2800.00
LensCraft Mastery Kit,2023-04-12,1500.00
SonicWave Audio Rig,2023-04-15,980.00
AstraGlide Stabilizer,2023-04-18,2000.00
PrismVision Studio Lights,2023-04-21,1400.00
ZoomBlast Microphone Set,2023-04-23,800.00
LuminaX Pro Camera,2023-04-26,2800.00
LensCraft Mastery Kit,2023-05-02,1500.00
SonicWave Audio Rig,2023-05-05,980.00
AstraGlide Stabilizer,2023-05-08,2000.00
PrismVision Studio Lights,2023-05-12,1400.00
ZoomBlast Microphone Set,2023-05-15,800.00
LuminaX Pro Camera,2023-05-18,2800.00
LensCraft Mastery Kit,2023-05-22,1500.00
SonicWave Audio Rig,2023-05-25,980.00
AstraGlide Stabilizer,2023-05-28,2000.00
PrismVision Studio Lights,2023-06-02,1400.00
ZoomBlast Microphone Set,2023-06-05,800.00
LuminaX Pro Camera,2023-06-08,2800.00
LensCraft Mastery Kit,2023-06-12,1500.00
SonicWave Audio Rig,2023-06-15,980.00
AstraGlide Stabilizer,2023-06-18,2000.00
PrismVision Studio Lights,2023-06-22,1400.00
ZoomBlast Microphone Set,2023-06-25,800.00
